start_time,end_time,location,type,place
1322443679,1322471891,1,4,1
1322472084,1322472091,2,2,0
1322472104,1322472211,0,3,0
1322472182,1322472216,11,1,0
1322472344,1322472726,9,3,0
1322472863,1322472881,5,2,3
1322472884,1322473037,4,2,3
1322473113,1322473120,5,2,3
1322473289,1322473296,4,2,3
1322473303,1322473319,3,3,3
1322473080,1322473361,10,0,3
1322473319,1322473375,7,0,3
1322473788,1322473873,0,3,0
1322473901,1322481907,8,4,4
1322481964,1322481966,0,3,0
1322481967,1322481991,11,1,0
1322482171,1322482175,6,2,2
1322483339,1322483349,6,2,2
1322483612,1322483903,5,2,3
1322483920,1322486500,8,4,4
1322486798,1322486827,11,1,0
1322486831,1322486926,5,2,3
1322486928,1322486935,4,2,3
1322487104,1322487116,4,2,3
1322487322,1322487327,5,2,3
1322487066,1322487714,3,3,3
1322489099,1322489189,0,3,0
1322489221,1322492997,8,4,4
1322493005,1322493005,0,3,0
1322493038,1322507967,8,4,4
1322508055,1322508059,5,2,3
1322508075,1322528811,8,4,4
1322529365,1322562664,1,4,1
1322563036,1322563047,11,1,0
1322563096,1322563117,2,2,0
1322563058,1322563709,0,3,0
1322563732,1322563734,2,2,0
1322563797,1322563873,9,3,0
1322564908,1322564961,4,2,3
1322564964,1322564977,5,2,3
1322564982,1322565037,7,0,3
1322564949,1322565182,10,0,3
1322565556,1322565559,2,2,0
1322565564,1322565671,0,3,0
1322565716,1322565718,11,1,0
1322565758,1322569515,8,4,4
1322569529,1322569532,5,2,3
1322569538,1322575946,8,4,4
1322576012,1322576014,0,3,0
1322576008,1322576037,11,1,0
1322576073,1322576109,4,2,3
1322576127,1322576199,4,2,3
1322576117,1322576577,7,0,3
1322576653,1322576681,5,2,3
1322576679,1322576685,4,2,3
1322576114,1322577386,3,3,3
1322577949,1322577954,5,2,3
1322578191,1322578254,0,3,0
1322578324,1322579878,8,4,4
1322580676,1322580687,11,1,0
1322580740,1322580743,4,2,3
1322580857,1322582887,8,4,4
1322582938,1322582940,0,3,0
1322582944,1322582969,11,1,0
1322582949,1322589442,8,4,4
1322589735,1322589741,6,2,2
1322594612,1322594618,6,2,2
1322594888,1322612387,8,4,4
1322612553,1322644051,1,4,1
1322644447,1322644474,11,1,0
1322644485,1322644713,9,3,0
1322644982,1322644997,4,2,3
1322645001,1322645016,5,2,3
1322645050,1322645278,10,0,3
1322645026,1322645318,7,0,3
1322645982,1322645985,2,2,0
1322645970,1322646073,0,3,0
1322646098,1322654701,8,4,4
1322654727,1322654731,5,2,3
1322654738,1322658574,8,4,4
1322658682,1322658684,0,3,0
1322658676,1322658708,11,1,0
1322658825,1322660049,8,4,4
1322660414,1322660424,4,2,3
1322660517,1322660532,5,2,3
1322660806,1322660810,5,2,3
1322661019,1322661033,5,2,3
1322660382,1322661324,3,3,3
1322662308,1322667551,8,4,4
1322667604,1322667609,0,3,0
1322667600,1322667624,11,1,0
1322667665,1322667669,5,2,3
1322667675,1322672438,8,4,4
1322672504,1322672507,0,3,0
1322672506,1322672531,11,1,0
1322672514,1322675000,8,4,4
1322675828,1322675854,11,1,0
1322675859,1322678230,8,4,4
1322678260,1322678266,0,3,0
1322678256,1322678281,11,1,0
1322678804,1322678809,6,2,2
1322679907,1322679912,6,2,2
1322680119,1322680124,8,4,4
1322680147,1322680398,5,2,3
1322680419,1322680428,0,3,0
1322680443,1322699667,8,4,4
1322699872,1322733045,1,4,1
1322733308,1322733313,2,2,0
1322733316,1322733325,0,3,0
1322733303,1322733332,11,1,0
1322733517,1322734342,9,3,0
1322734634,1322734646,4,2,3
1322734649,1322734663,5,2,3
1322734669,1322734783,7,0,3
1322734625,1322734789,10,0,3
1322744899,1322744902,0,3,0
1322735406,1322746142,8,4,4
1322746188,1322746598,7,0,3
