start_time,end_time,activity
1352676240,1352677439,8
1352677680,1352677799,2
1352677800,1352681519,8
1352681520,1352681579,2
1352681580,1352681639,9
1352681640,1352709119,6
1352709420,1352709539,9
1352709720,1352710379,0
1352710560,1352711759,8
1352711880,1352712059,2
1352712060,1352712599,5
1352712780,1352712899,2
1352712900,1352712959,9
1352712960,1352713259,2
1352713320,1352713379,2
1352713620,1352714699,8
1352714700,1352715659,7
1352716620,1352717279,7
1352720460,1352720579,9
1352721178,1352721359,9
1352721600,1352722079,2
1352722320,1352722739,2
1352722740,1352723579,8
1352724420,1352728439,4
1352728440,1352730179,8
1352730180,1352730713,7
1352731080,1352731139,9
1352731140,1352731259,2
1352731320,1352733119,8
1352733720,1352736539,3
1352736600,1352737799,8
1352738580,1352738639,9
1352738640,1352738699,2
1352738700,1352742419,8
1352742420,1352743019,7
1352743320,1352750279,8
1352750760,1352751119,8
1352751240,1352751359,2
1352756100,1352756279,1
1352757180,1352757239,2
1352757240,1352759699,8
1352759760,1352759879,9
1352760360,1352766420,8
1352766540,1352766599,2
1352766600,1352793179,6
1352793360,1352793899,0
1352794260,1352794319,2
1352794440,1352794559,9
1352794860,1352795819,2
1352796780,1352797919,3
1352798040,1352800199,7
1352800320,1352810519,3
1352810820,1352811599,7
1352811900,1352812019,9
1352812080,1352814179,4
1352814180,1352818319,8
1352819220,1352819279,9
1352819280,1352820839,8
1352820900,1352824319,8
1352824440,1352824619,7
1352824620,1352828939,8
1352829060,1352830439,7
1352832360,1352832479,9
1352832720,1352845019,8
1352845020,1352845379,1
1352846340,1352846459,2
1352846700,1352848919,8
1352849220,1352849279,2
1352849280,1352849399,9
1352849340,1352866379,6
1352866500,1352866559,2
1352866560,1352880119,6
1352880240,1352880359,9
1352880360,1352881079,0
1352881320,1352885879,8
1352885880,1352887319,0
1352887620,1352889359,8
1352890020,1352890379,2
1352890560,1352890739,5
1352890800,1352891339,2
1352892060,1352892179,2
1352892540,1352893979,8
1352893920,1352894099,3
1352894220,1352899379,3
1352899380,1352899439,9
1352899440,1352899499,2
1352899740,1352904599,3
1352905080,1352918939,8
1352920260,1352925479,8
1352925420,1352926079,1
1352926080,1352927699,8
1352927640,1352927879,7
1352927880,1352930819,8
1352931120,1352934419,8
1352934420,1352934479,2
1352934540,1352934599,9
1352934600,1352934659,2
1352934600,1352936399,6
1352936400,1352936639,6
1352936580,1352940899,8
1352940900,1352962019,6
1352962320,1352962379,9
1352962380,1352968499,6
1352968620,1352969279,0
1352969460,1352969519,9
1352969520,1352969579,2
1352969580,1352969819,2
1352970000,1352970479,2
1352970668,1352970984,7
1352971560,1352974799,8
1352976120,1352980979,3
1352981340,1352985659,8
1352986860,1352990639,4
1352990880,1352990939,9
1352990940,1352990999,2
1352991240,1353006659,3
1353013620,1353014579,7
1353014760,1353015059,1
1353015060,1353023339,8
1353023460,1353023639,2
1353023640,1353023699,9
1353023700,1353023759,2
1353023880,1353058679,6
1353058740,1353059579,0
1353060180,1353060419,5
1353060540,1353061079,2
1353062400,1353062879,2
1353064140,1353064199,7
1353064200,1353066839,3
1353066960,1353070379,8
1353071940,1353074159,4
1353074700,1353074819,9
1353075420,1353085499,3
1353085740,1353085859,9
1353085860,1353086159,7
1353086160,1353098339,8
1353100200,1353100259,2
1353100680,1353115199,3
1353115560,1353115799,2
1353115860,1353115919,9
1353115920,1353116039,2
1353116040,1353142019,6
1353142320,1353142439,9
1353142620,1353143039,0
1353143880,1353144059,5
1353144060,1353144899,2
1353145080,1353145379,2
1353145620,1353150899,3
1353152100,1353152639,2
1353152700,1353159119,8
1353159720,1353165899,3
1353166200,1353166259,9
1353166260,1353166319,2
1353166320,1353169739,8
1353170340,1353180419,8
1353180360,1353180719,7
1353181440,1353181559,9
1353181560,1353181619,2
1353182040,1353182159,2
1353183540,1353195119,3
1353195540,1353198899,8
1353199140,1353225479,6
1353225900,1353226019,9
1353226020,1353226499,0
1353226920,1353227399,5
1353227400,1353228299,2
1353229140,1353229619,3
1353231360,1353232199,8
1353232380,1353245699,3
1353246600,1353247079,4
1353255240,1353255659,7
1353255900,1353256019,9
1353256020,1353256259,2
1353257040,1353257099,2
1353257100,1353264059,8
1353264780,1353273839,3
1353273840,1353274019,1
1353274200,1353274979,2
1353274980,1353275999,8
1353276000,1353276179,7
1353276180,1353276239,2
1353276300,1353280139,8
1353280320,1353280379,9
1353280380,1353316199,6
1353316260,1353316379,9
1353316380,1353317159,0
1353317640,1353320879,8
1353322260,1353322919,2
1353323040,1353323519,5
1353323640,1353323759,9
1353323820,1353323939,2
1353324540,1353324839,2
1353325260,1353331619,8
1353331620,1353331679,2
1353331740,1353331799,2
1353331800,1353331859,9
1353331860,1353336779,3
1353336840,1353336899,9
1353336900,1353337679,7
1353337680,1353350699,8
1353351360,1353358799,8
1353358740,1353359099,1
1353360300,1353360599,2
1353360660,1353360779,7
1353360720,1353370979,8
1353370980,1353371099,9
1353371100,1353401939,6
1353403140,1353403259,9
1353403260,1353403859,0
1353404400,1353405539,2
1353405600,1353406499,7
1353406500,1353412559,8
1353412860,1353412979,9
1353412980,1353413399,7
1353414780,1353417899,8
1353417900,1353419819,4
1353420720,1353422639,8
1353423240,1353423359,9
1353423540,1353439919,3
1353440040,1353444719,8
1353445020,1353452579,8
1353452580,1353452699,2
1353452880,1353452939,9
1353452940,1353452999,2
1353453120,1353488039,6
1353488340,1353488459,9
1353488460,1353488819,0
1353488820,1353493979,8
1353494220,1353494699,2
1353494880,1353494939,9
1353494940,1353495179,2
1353495660,1353497219,3
1353498300,1353500879,8
1353503400,1353506519,8
1353506520,1353508319,4
1353508320,1353509639,8
1353509820,1353516599,8
1353516600,1353516959,7
1353516960,1353528119,8
1353528480,1353528599,9
1353529080,1353544859,3
1353544800,1353544979,7
1353545220,1353545279,2
1353545700,1353575519,6
1353575760,1353575879,9
1353575940,1353577379,0
1353578520,1353579059,7
1353579120,1353581759,8
1353579060,1353581819,8
1353581760,1353582599,7
1353583200,1353583919,2
1353584280,1353592619,8
1353593040,1353593099,9
1353593100,1353594479,4
1353594420,1353598979,8
1353598980,1353599579,7
1353599580,1353604559,8
1353604500,1353604739,7
1353604740,1353612239,8
1353614460,1353614579,2
1353614700,1353614759,9
1353614760,1353627299,3
1353627360,1353627539,7
1353627840,1353627899,9
1353627900,1353628019,2
1353628080,1353630779,8
1353630780,1353630839,2
1353630840,1353660059,6
1353660240,1353660359,9
1353660540,1353661199,0
1353663120,1353663539,2
1353663780,1353664079,2
1353664080,1353664379,2
1353664560,1353670559,6
1353671580,1353671819,7
1353672180,1353672239,2
1353672300,1353677039,8
1353676980,1353677939,4
1353678000,1353678119,9
1353678720,1353685799,8
1353686100,1353686219,9
1353686220,1353687059,7
1353687060,1353689879,8
1353689880,1353690059,7
1353690420,1353696659,8
1353696780,1353704639,3
1353704820,1353704939,9
1353705420,1353713279,8
1353713220,1353713579,2
1353713580,1353747779,6
1353747840,1353748379,0
1353748620,1353748739,9
1353748740,1353752039,8
1353752160,1353752399,7
1353753000,1353753539,5
1353753540,1353754379,2
1353754740,1353754859,2
1353754860,1353754979,9
1353755340,1353756239,7
1353756660,1353759539,8
1353761400,1353763919,8
1353763920,1353763979,2
1353764160,1353769199,3
1353769200,1353769259,9
1353769260,1353769319,2
1353769320,1353769379,9
1353769380,1353769439,2
1353769440,1353783479,8
1353783480,1353783599,7
1353784080,1353785519,8
1353790860,1353790919,9
1353790920,1353791819,8
1353791820,1353791939,1
1353791940,1353795659,8
1353795660,1353795779,7
1353795780,1353800699,8
1353800700,1353800879,2
1353800880,1353804539,8
1353804600,1353831899,6
1353832140,1353832199,9
1353832200,1353832259,2
1353832980,1353833039,9
1353833040,1353833699,2
1353833700,1353833819,9
1353834180,1353834479,0
1353835320,1353836519,8
