start_time,end_time,location,type,place
1352664861,1352676109,7,4,4
1352676177,1352676179,3,3,4
1352676194,1352676197,3,3,3
1352676260,1352676262,3,3,3
1352676282,1352676294,3,3,4
1352676335,1352677376,7,4,4
1352677426,1352677429,3,3,4
1352677572,1352677575,3,3,1
1352677641,1352677644,3,3,1
1352677718,1352677812,0,3,0
1352677829,1352677832,3,3,4
1352677878,1352681532,7,4,4
1352681599,1352681602,3,3,4
1352681607,1352681615,0,3,0
1352681633,1352681637,3,3,1
1352681619,1352681667,9,1,0
1352681709,1352709035,1,4,1
1352709076,1352709079,3,3,1
1352709448,1352709525,9,1,0
1352709617,1352709622,3,3,4
1352709674,1352709677,3,3,4
1352709722,1352709725,3,3,3
1352710077,1352710092,4,2,3
1352710101,1352710202,6,0,3
1352710353,1352710355,3,3,3
1352710406,1352710409,3,3,1
1352710576,1352710580,3,3,1
1352710585,1352710588,3,3,4
1352710656,1352711690,7,4,4
1352711744,1352711747,3,3,4
1352711815,1352711818,3,3,1
1352711821,1352711825,3,3,1
1352711899,1352712015,0,3,0
1352712099,1352712585,8,3,0
1352712745,1352712758,3,3,4
1352712789,1352712790,3,3,4
1352712803,1352712805,3,3,3
1352712807,1352712822,3,3,3
1352712827,1352712850,0,3,0
1352712851,1352712902,9,1,0
1352712914,1352713201,0,3,0
1352713229,1352713231,3,3,3
1352713268,1352713270,3,3,3
1352713280,1352713282,3,3,4
1352713302,1352713304,3,3,4
1352713325,1352713327,0,3,0
1352713637,1352713644,3,3,4
1352714693,1352714696,3,3,4
1352714744,1352714747,3,3,3
1352714771,1352714794,4,2,3
1352714984,1352715042,6,0,3
1352715640,1352715645,3,3,3
1352715686,1352715690,3,3,4
1352715814,1352715817,3,3,4
1352715852,1352715857,3,3,1
1352716347,1352716349,3,3,1
1352716359,1352716361,3,3,3
1352716395,1352716397,3,3,3
1352716448,1352716450,3,3,1
1352716485,1352716492,3,3,1
1352716669,1352716672,3,3,3
1352716707,1352716806,4,2,3
1352717032,1352717035,4,2,3
1352717229,1352717243,3,3,3
1352717258,1352717268,3,3,4
1352718110,1352718112,3,3,4
1352718127,1352718129,3,3,1
1352719343,1352719350,3,3,1
1352719413,1352719428,3,3,3
1352720220,1352720223,3,3,3
1352720375,1352720382,3,3,1
1352720504,1352720506,3,3,1
1352720519,1352720559,9,1,0
1352720621,1352720623,3,3,1
1352720961,1352720963,3,3,1
1352720982,1352720986,3,3,4
1352721061,1352721064,3,3,4
1352721178,1352721312,9,1,0
1352721602,1352722031,0,3,0
1352722367,1352722704,0,3,0
1352722741,1352722792,3,3,4
1352723562,1352723566,3,3,4
1352723591,1352723595,3,3,3
1352724263,1352724267,3,3,3
1352724469,1352724471,3,3,3
1352724751,1352724939,4,2,3
1352725202,1352725205,3,3,3
1352725487,1352725490,3,3,4
1352726416,1352726418,3,3,4
1352726428,1352726431,3,3,3
1352727541,1352727548,2,2,3
1352727555,1352727561,2,2,3
1352728124,1352728127,3,3,3
1352728134,1352728137,3,3,4
1352728155,1352728158,3,3,4
1352728170,1352728173,3,3,3
1352728293,1352728300,2,2,3
1352728392,1352728394,3,3,3
1352728485,1352728487,3,3,4
1352730167,1352730170,3,3,4
1352730180,1352730182,3,3,3
1352730218,1352730230,2,2,3
1352730709,1352730713,3,3,3
1352731130,1352731188,9,1,0
1352731145,1352731239,0,3,0
1352731375,1352731378,3,3,4
1352731395,1352733035,7,4,4
1352733088,1352733094,3,3,4
1352733742,1352733749,5,2,2
1352736514,1352736517,5,2,2
1352736611,1352736614,3,3,4
1352737757,1352737761,3,3,4
1352737770,1352737773,3,3,3
1352737790,1352737792,3,3,3
1352737808,1352737816,3,3,4
1352738138,1352738142,3,3,4
1352738635,1352738647,0,3,0
1352738613,1352738671,9,1,0
1352738677,1352738680,3,3,4
1352738722,1352742418,7,4,4
1352742449,1352742452,3,3,4
1352742465,1352742469,3,3,3
1352742737,1352742753,4,2,3
1352742762,1352742823,6,0,3
1352742972,1352742975,3,3,3
1352743251,1352743256,3,3,1
1352743327,1352743330,3,3,1
1352743335,1352743339,3,3,4
1352743387,1352750206,7,4,4
1352750225,1352750227,3,3,4
1352750231,1352750243,3,3,1
1352750379,1352750382,3,3,1
1352750792,1352750795,3,3,4
1352751099,1352751118,3,3,4
1352751296,1352751303,0,3,0
1352751313,1352751317,3,3,4
1352756064,1352756067,3,3,4
1352756067,1352756070,3,3,1
1352756086,1352756088,3,3,1
1352756121,1352756125,3,3,3
1352756183,1352756218,2,2,3
1352756272,1352756275,3,3,3
1352757226,1352757234,0,3,0
1352757250,1352757254,3,3,4
1352757302,1352759625,7,4,4
1352759667,1352759670,3,3,4
1352759680,1352759683,3,3,1
1352759805,1352759807,3,3,1
1352759811,1352759879,9,1,0
1352759895,1352759899,3,3,4
1352760305,1352760308,3,3,4
1352760308,1352760311,3,3,3
1352760353,1352760355,3,3,3
1352760383,1352760386,3,3,4
1352760422,1352766376,7,4,4
1352766425,1352766461,3,3,4
1352766546,1352766579,0,3,0
1352766592,1352766596,3,3,1
1352766632,1352793075,1,4,1
1352793123,1352793126,3,3,1
1352793228,1352793230,3,3,4
1352793397,1352793400,3,3,4
1352793412,1352793417,3,3,3
1352793469,1352793473,4,2,3
1352793552,1352793555,4,2,3
1352793525,1352793626,6,0,3
1352793894,1352793896,3,3,3
1352793926,1352793930,3,3,1
1352794210,1352794212,3,3,1
1352794306,1352794309,0,3,0
1352794488,1352794553,9,1,0
1352794884,1352795066,0,3,0
1352795377,1352795426,0,3,0
1352795695,1352795810,0,3,0
1352795844,1352795848,3,3,1
1352796171,1352796174,3,3,1
1352796795,1352796801,5,2,2
1352797864,1352797867,5,2,2
1352797908,1352797911,3,3,3
1352797919,1352797922,4,2,3
1352797930,1352797932,3,3,3
1352798044,1352798047,3,3,3
1352800174,1352800178,3,3,3
1352800205,1352800208,3,3,1
1352800312,1352800315,3,3,1
1352800365,1352800368,5,2,2
1352810510,1352810514,5,2,2
1352810526,1352810530,3,3,3
1352810565,1352810568,3,3,3
1352810600,1352810601,3,3,1
1352810756,1352810758,3,3,1
1352810865,1352810868,3,3,3
1352810907,1352810912,4,2,3
1352810919,1352810922,4,2,3
1352811580,1352811582,3,3,3
1352811661,1352811671,3,3,3
1352811809,1352811811,3,3,3
1352811924,1352811969,9,1,0
1352812104,1352812108,3,3,3
1352812645,1352812649,3,3,3
1352812853,1352812856,3,3,3
1352813254,1352813256,2,2,3
1352813300,1352813304,4,2,3
1352813622,1352813625,2,2,3
1352813951,1352813954,3,3,3
1352814029,1352814032,3,3,4
1352814088,1352814090,3,3,4
1352814098,1352814101,3,3,3
1352814153,1352814156,3,3,3
1352814187,1352814189,3,3,4
1352814241,1352818230,7,4,4
1352818289,1352818292,3,3,4
1352818300,1352818303,3,3,3
1352819065,1352819067,3,3,3
1352819082,1352819085,3,3,4
1352819101,1352819103,3,3,4
1352819247,1352819250,3,3,4
1352819228,1352819282,9,1,0
1352820800,1352820803,3,3,4
1352820861,1352820864,3,3,1
1352820886,1352820889,3,3,1
1352820903,1352820907,3,3,4
1352820972,1352824214,7,4,4
1352824287,1352824290,3,3,4
1352824424,1352824427,3,3,1
1352824463,1352824467,3,3,1
1352824488,1352824491,3,3,3
1352824592,1352824594,3,3,3
1352824651,1352824655,3,3,4
1352824707,1352825710,7,4,4
1352825790,1352825793,3,3,4
1352825821,1352825824,3,3,4
1352825927,1352827268,7,4,4
1352827355,1352827358,3,3,4
1352827480,1352827484,3,3,4
1352827527,1352828849,7,4,4
1352828918,1352828920,3,3,4
1352829111,1352829113,3,3,3
1352830388,1352830399,3,3,3
1352830408,1352830411,3,3,3
1352832214,1352832218,3,3,3
1352832256,1352832281,3,3,4
1352832301,1352832303,3,3,4
1352832390,1352832447,9,1,0
1352832546,1352832548,3,3,1
1352832610,1352832613,3,3,1
1352832722,1352832723,3,3,4
1352832793,1352843864,7,4,4
1352843904,1352843908,3,3,4
1352843910,1352843914,3,3,1
1352843982,1352843984,3,3,1
1352844004,1352844008,3,3,4
1352845027,1352845030,3,3,4
1352845040,1352845045,3,3,3
1352845076,1352845302,6,0,3
1352845328,1352845330,3,3,3
1352845341,1352845349,3,3,4
1352846069,1352846074,3,3,4
1352846082,1352846093,3,3,1
1352846251,1352846253,3,3,1
1352846372,1352846403,0,3,0
1352846452,1352846458,3,3,4
1352846650,1352846653,3,3,4
1352846667,1352846670,3,3,3
1352846690,1352846692,3,3,3
1352846705,1352846709,3,3,4
1352846761,1352848835,7,4,4
1352848867,1352848870,3,3,4
1352849240,1352849309,0,3,0
1352849334,1352849339,3,3,1
1352849324,1352849372,9,1,0
1352849381,1352866275,1,4,1
1352866346,1352866349,3,3,1
1352866519,1352866552,0,3,0
1352866555,1352866559,3,3,1
1352866611,1352880014,1,4,1
1352880082,1352880087,3,3,1
1352880294,1352880298,3,3,1
1352880283,1352880343,9,1,0
1352880368,1352880370,3,3,1
1352880386,1352880390,3,3,3
1352880437,1352880455,4,2,3
1352880467,1352880556,6,0,3
1352880566,1352880581,6,0,3
1352881068,1352881071,3,3,3
1352881205,1352881209,3,3,4
1352881300,1352881303,3,3,4
1352881331,1352881336,3,3,1
1352881341,1352881346,3,3,1
1352881354,1352881357,3,3,4
1352881390,1352885808,7,4,4
1352885846,1352885849,3,3,4
1352885896,1352885899,3,3,3
1352885990,1352885996,4,2,3
1352886403,1352886417,3,3,3
1352886862,1352886864,3,3,3
1352887154,1352887156,2,2,3
1352887272,1352887275,3,3,3
1352887351,1352887355,3,3,1
1352887581,1352887583,3,3,1
1352887647,1352887650,3,3,4
1352887706,1352888138,7,4,4
1352888205,1352888210,3,3,4
1352888329,1352888332,3,3,4
1352888376,1352889258,7,4,4
1352889343,1352889346,3,3,4
1352889365,1352889388,3,3,3
1352889907,1352889910,3,3,3
1352890059,1352890337,0,3,0
1352890563,1352890735,8,3,0
1352890816,1352890962,0,3,0
1352891270,1352891333,0,3,0
1352891442,1352891446,3,3,1
1352892030,1352892034,3,3,1
1352892091,1352892175,0,3,0
1352892540,1352892555,3,3,4
1352893327,1352893329,3,3,4
1352893331,1352893335,3,3,1
1352893382,1352893396,3,3,1
1352893503,1352893506,3,3,4
1352893614,1352893889,7,4,4
1352893929,1352893934,3,3,4
1352893939,1352893944,5,2,2
1352894047,1352894050,3,3,4
1352894070,1352894073,3,3,4
1352894067,1352894075,5,2,2
1352894081,1352894085,3,3,3
1352894124,1352894127,3,3,3
1352894138,1352894142,3,3,4
1352894154,1352894157,3,3,4
1352894270,1352894277,5,2,2
1352899351,1352899357,5,2,2
1352899391,1352899441,9,1,0
1352899402,1352899453,0,3,0
1352899454,1352899468,3,3,4
1352899609,1352899615,3,3,4
1352899633,1352899637,3,3,1
1352899701,1352899705,3,3,1
1352899779,1352899786,5,2,2
1352904578,1352904584,5,2,2
1352904607,1352904610,3,3,4
1352904893,1352904896,3,3,4
1352905125,1352905129,3,3,4
1352905151,1352918875,7,4,4
1352918933,1352918939,3,3,4
1352919227,1352919231,3,3,4
1352919295,1352919298,3,3,4
1352919349,1352919353,3,3,1
1352919377,1352919379,3,3,1
1352919643,1352919646,3,3,4
1352919729,1352919732,3,3,4
1352919741,1352919744,3,3,3
1352920202,1352920206,3,3,3
1352920298,1352920301,3,3,4
1352920378,1352923489,7,4,4
1352923506,1352923508,3,3,4
1352923586,1352923589,3,3,4
1352925429,1352925433,3,3,4
1352925441,1352925446,3,3,3
1352925622,1352925742,6,0,3
1352925743,1352925749,2,2,3
